'id_event','match_event','time','player','team','type_e'
783,307,34,77,3,'goal'
784,307,36,180,3,'goal'
785,307,42,42,11,'goal'
786,307,59,77,3,'goal'
787,307,81,180,3,'goal'
788,308,43,58,0,'goal'
789,308,50,102,15,'miss'
790,309,53,97,8,'goal'
791,310,12,299,15,'goal'
792,310,31,45,8,'miss'
793,310,59,46,8,'goal'
794,310,63,92,15,'goal'
795,310,78,45,8,'goal'
796,310,80,130,8,'goal'
797,311,3,140,11,'goal'
798,311,32,174,11,'penalty'
799,312,41,362,2,'penalty'
800,313,2,41,7,'goal'
801,313,19,349,10,'goal'
802,313,45,315,7,'goal'
803,313,55,207,10,'own'
804,313,62,41,7,'goal'
805,314,10,168,9,'goal'
806,314,61,388,4,'goal'
807,314,82,388,4,'miss'
808,315,27,70,18,'goal'
809,316,18,54,19,'goal'
810,316,43,12,19,'goal'
811,316,52,57,19,'goal'
812,316,89,54,19,'goal'
813,317,14,22,16,'penalty'
814,318,14,229,12,'goal'
815,318,34,279,12,'goal'
816,318,51,414,12,'goal'
817,318,56,85,12,'penalty'
818,318,63,128,3,'goal'
819,319,22,2,0,'goal'
820,319,52,2,0,'goal'
821,319,82,267,13,'goal'
822,320,24,102,15,'goal'
823,320,56,37,7,'goal'
824,321,41,4,1,'miss'
825,321,48,4,1,'goal'
826,321,87,421,1,'goal'
827,322,19,393,3,'goal'
828,322,44,393,3,'goal'
829,322,58,393,3,'goal'
830,322,87,166,3,'goal'
831,323,3,198,10,'miss'
832,323,72,198,10,'goal'
834,323,89,148,10,'goal'
835,324,23,17,2,'goal'
836,325,57,136,19,'goal'
837,325,73,136,19,'goal'
838,325,83,190,19,'goal'
839,326,23,9,12,'goal'
840,326,48,422,18,'goal'
841,326,54,5,12,'goal'
842,326,66,85,12,'goal'
843,326,85,414,12,'goal'
844,327,5,45,8,'goal'
845,327,17,403,13,'own'
846,327,68,210,13,'miss'
847,327,68,210,13,'goal'
848,327,90,0,13,'goal'
849,328,20,44,14,'goal'
850,328,41,55,0,'goal'
851,328,62,161,14,'goal'
853,330,17,174,11,'penalty'
854,331,33,262,15,'goal'
855,331,46,324,18,'goal'
856,331,73,149,18,'goal'
857,331,94,178,18,'goal'
858,333,15,186,4,'goal'
859,333,46,68,4,'goal'
860,333,66,68,4,'goal'
861,333,70,69,4,'goal'
862,333,79,3,0,'goal'
863,334,25,235,14,'goal'
864,334,60,233,14,'goal'
865,334,92,424,5,'goal'
866,335,67,427,13,'goal'
867,335,89,0,13,'goal'
869,336,76,36,10,'goal'
870,337,27,136,19,'goal'
871,337,31,60,1,'goal'
872,337,34,136,19,'goal'
873,337,79,4,1,'goal'
874,338,29,200,8,'goal'
875,338,30,45,8,'goal'
876,338,57,6,12,'goal'
877,338,81,428,12,'goal'
878,339,21,84,16,'goal'
879,339,38,217,16,'goal'
880,339,63,249,16,'goal'
881,339,92,429,9,'goal'
882,340,58,102,15,'penalty'
883,341,23,55,0,'goal'
884,341,33,292,7,'goal'
885,341,40,37,7,'goal'
886,341,94,92,7,'goal'
